tile,understory_returns,first_returns,normalized_cover
tile_282000_1550000.las,658082,2027017,0.3247
tile_282000_1550500.las,830048,1980964,0.419
tile_282000_1551000.las,667406,2108412,0.3165
tile_282000_1551500.las,438281,2048084,0.214
tile_282500_1550000.las,598732,2142123,0.2795
tile_282500_1550500.las,573969,2156345,0.2662
tile_282500_1551000.las,832718,2083541,0.3997
tile_282500_1551500.las,617329,1942871,0.3177
tile_283000_1550000.las,268802,1188556,0.2262
tile_283000_1550500.las,448624,1998762,0.2245
tile_283000_1551000.las,689155,2094503,0.329
tile_283000_1551500.las,875479,2035179,0.4302
tile_283500_1550000.las,230105,479365,0.48
tile_283500_1550500.las,862692,2247407,0.3839
tile_283500_1551000.las,726150,1952022,0.372
tile_283500_1551500.las,763034,1873225,0.4073
