tile,occupied_voxels,total_voxels,voxel_occupancy_ratio
tile_282000_1550000.las,262873,1089936,0.2412
tile_282000_1550500.las,327653,1131696,0.2895
tile_282000_1551000.las,273389,1131696,0.2416
tile_282000_1551500.las,190800,1089936,0.1751
tile_282500_1550000.las,254835,1131696,0.2252
tile_282500_1550500.las,239527,1175056,0.2038
tile_282500_1551000.las,322009,1175056,0.274
tile_282500_1551500.las,257129,1131696,0.2272
tile_283000_1550000.las,136681,1123200,0.1217
tile_283000_1550500.las,208310,1175056,0.1773
tile_283000_1551000.las,286292,1175056,0.2436
tile_283000_1551500.las,338975,1131696,0.2995
tile_283500_1550000.las,122092,1081600,0.1129
tile_283500_1550500.las,311215,1131696,0.275
tile_283500_1551000.las,288532,1131696,0.255
tile_283500_1551500.las,309204,1089936,0.2837
