tile,occupied_voxels,total_voxels,voxel_occupancy_ratio,understory_veg_returns,ground_returns,fractional_cover,understory_returns,first_returns,normalized_cover,lad_0.5_3.5m,canopy_first_returns,total_first_returns,canopy_cover_ratio_dbh
tile_282000_1550000.las,9603,57600,0.1667,19145,3360,0.8507,19145,80835,0.2368,2.4308,66318,80835,0.8204
tile_282000_1550100.las,10975,67200,0.1633,22886,3761,0.8589,22886,119034,0.1923,2.6236,104650,119034,0.8792
tile_282000_1550200.las,17456,67200,0.2598,50317,9066,0.8473,50317,148538,0.3387,2.0948,94662,148538,0.6373
tile_282000_1550300.las,15716,67200,0.2339,41276,8149,0.8351,41276,126666,0.3259,2.2248,78458,126666,0.6194
tile_282000_1550400.las,16158,67200,0.2404,29111,7236,0.8009,29111,70793,0.4112,1.7306,34733,70793,0.4906
tile_282000_1550500.las,18463,67200,0.2747,47366,8656,0.8455,47366,112795,0.4199,1.7672,65076,112795,0.5769
tile_282000_1550600.las,19316,67200,0.2874,47448,7071,0.8703,47448,134702,0.3522,2.0473,95820,134702,0.7113
tile_282000_1550700.las,22816,67200,0.3395,57061,8503,0.8703,57061,125511,0.4546,1.5232,81702,125511,0.651
tile_282000_1550800.las,21415,67200,0.3187,46609,9380,0.8325,46609,91929,0.507,1.2327,40818,91929,0.444
tile_282000_1550900.las,18923,67200,0.2816,47646,6716,0.8765,47646,126117,0.3778,1.9491,85326,126117,0.6766
tile_282000_1551000.las,17864,67200,0.2658,41742,5196,0.8893,41742,140395,0.2973,2.1215,116088,140395,0.8269
tile_282000_1551100.las,14775,67200,0.2199,31067,4850,0.865,31067,117901,0.2635,2.2384,99023,117901,0.8399
tile_282000_1551200.las,13016,67200,0.1937,23299,3416,0.8721,23299,77367,0.3011,2.0339,65796,77367,0.8504
tile_282000_1551300.las,16479,67200,0.2452,46979,5635,0.8929,46979,136796,0.3434,1.9334,105406,136796,0.7705
tile_282000_1551400.las,22012,67200,0.3276,63621,6319,0.9097,63621,154784,0.411,1.738,112544,154784,0.7271
tile_282000_1551500.las,18032,67200,0.2683,47006,6670,0.8757,47006,119208,0.3943,1.8207,78713,119208,0.6603
tile_282000_1551600.las,19694,67200,0.2931,49347,9650,0.8364,49347,99707,0.4949,1.4974,36793,99707,0.369
tile_282000_1551700.las,18498,67200,0.2753,56286,8168,0.8733,56286,140346,0.4011,2.1131,76309,140346,0.5437
tile_282000_1551800.las,9149,67200,0.1361,21561,3188,0.8712,21561,146299,0.1474,2.9399,134342,146299,0.9183
tile_282000_1551900.las,10305,57600,0.1789,20083,2479,0.8901,20083,87113,0.2305,2.3979,78221,87113,0.8979
tile_282100_1550000.las,14180,67200,0.211,33467,7307,0.8208,33467,111996,0.2988,2.1221,81418,111996,0.727
tile_282100_1550100.las,13480,78400,0.1719,26824,4587,0.854,26824,127253,0.2108,2.4982,111091,127253,0.873
