tile,occupied_voxels,total_voxels,voxel_occupancy_ratio,understory_veg_returns,ground_returns,fractional_cover,understory_returns,first_returns,normalized_cover,lad_0.5_3.5m,canopy_first_returns,total_first_returns,canopy_cover_ratio_dbh,NDVI_count,NDVI_mean,NDVI_stdev,NDVI_min,NDVI_max
tile_282000_1550000.las,9603,57600,0.1667,19145,3360,0.8507,19145,80835,0.2368,2.4308,66318,80835,0.8204,100.0,0.534684863984585,0.061976284272542,0.388073593378067,0.648994445800781
tile_282000_1550100.las,10975,67200,0.1633,22886,3761,0.8589,22886,119034,0.1923,2.6236,104650,119034,0.8792,100.0,0.466857912242413,0.026691024166086,0.413506150245667,0.552843272686005
tile_282000_1550200.las,17456,67200,0.2598,50317,9066,0.8473,50317,148538,0.3387,2.0948,94662,148538,0.6373,100.0,0.456243121922016,0.040780829307529,0.345850080251694,0.520911991596222
tile_282000_1550300.las,15716,67200,0.2339,41276,8149,0.8351,41276,126666,0.3259,2.2248,78458,126666,0.6194,100.0,0.452473650276661,0.056578728061552,0.290198385715485,0.558175683021545
tile_282000_1550400.las,16158,67200,0.2404,29111,7236,0.8009,29111,70793,0.4112,1.7306,34733,70793,0.4906,100.0,0.418829245269299,0.064218803635205,0.287315666675568,0.578456699848175
tile_282000_1550500.las,18463,67200,0.2747,47366,8656,0.8455,47366,112795,0.4199,1.7672,65076,112795,0.5769,100.0,0.52323200583458,0.04773787065951,0.419069945812225,0.612616837024689
tile_282000_1550600.las,19316,67200,0.2874,47448,7071,0.8703,47448,134702,0.3522,2.0473,95820,134702,0.7113,100.0,0.540904796719551,0.053858319068257,0.38878321647644,0.617564141750336
tile_282000_1550700.las,22816,67200,0.3395,57061,8503,0.8703,57061,125511,0.4546,1.5232,81702,125511,0.651,100.0,0.518678672611713,0.043567490126703,0.414966225624084,0.601259529590607
tile_282000_1550800.las,21415,67200,0.3187,46609,9380,0.8325,46609,91929,0.507,1.2327,40818,91929,0.444,100.0,0.534966140985489,0.061248301704869,0.373915731906891,0.637703001499176
tile_282000_1550900.las,18923,67200,0.2816,47646,6716,0.8765,47646,126117,0.3778,1.9491,85326,126117,0.6766,100.0,0.631373350024223,0.086677066871979,0.37565341591835,0.752945065498352
tile_282000_1551000.las,17864,67200,0.2658,41742,5196,0.8893,41742,140395,0.2973,2.1215,116088,140395,0.8269,100.0,0.693576208353043,0.030177026951034,0.603269398212433,0.757172405719757
tile_282000_1551100.las,14775,67200,0.2199,31067,4850,0.865,31067,117901,0.2635,2.2384,99023,117901,0.8399,100.0,0.665024202466011,0.033452226967752,0.550523042678833,0.714734077453613
tile_282000_1551200.las,13016,67200,0.1937,23299,3416,0.8721,23299,77367,0.3011,2.0339,65796,77367,0.8504,100.0,0.664956598877907,0.04031204347014,0.520438313484192,0.715075492858887
tile_282000_1551300.las,16479,67200,0.2452,46979,5635,0.8929,46979,136796,0.3434,1.9334,105406,136796,0.7705,100.0,0.640308871269226,0.048746340407046,0.4465052485466,0.714347422122955
tile_282000_1551400.las,22012,67200,0.3276,63621,6319,0.9097,63621,154784,0.411,1.738,112544,154784,0.7271,100.0,0.627403793036938,0.060571263924739,0.489685535430908,0.74494343996048
tile_282000_1551500.las,18032,67200,0.2683,47006,6670,0.8757,47006,119208,0.3943,1.8207,78713,119208,0.6603,100.0,0.612140486240387,0.093531683933804,0.400524199008942,0.745291948318481
tile_282000_1551600.las,19694,67200,0.2931,49347,9650,0.8364,49347,99707,0.4949,1.4974,36793,99707,0.369,100.0,0.522450365424156,0.108360839510376,0.35173487663269,0.74982100725174
tile_282000_1551700.las,18498,67200,0.2753,56286,8168,0.8733,56286,140346,0.4011,2.1131,76309,140346,0.5437,100.0,0.613209208846092,0.107401860598222,0.369503259658813,0.775822043418884
tile_282000_1551800.las,9149,67200,0.1361,21561,3188,0.8712,21561,146299,0.1474,2.9399,134342,146299,0.9183,100.0,0.685503464341164,0.02829552334758,0.62500274181366,0.758995890617371
tile_282000_1551900.las,10305,57600,0.1789,20083,2479,0.8901,20083,87113,0.2305,2.3979,78221,87113,0.8979,100.0,0.60990332275629,0.045453444852673,0.49565377831459,0.700690925121307
tile_282100_1550000.las,14180,67200,0.211,33467,7307,0.8208,33467,111996,0.2988,2.1221,81418,111996,0.727,100.0,0.565942659676075,0.06104535627314,0.400673538446426,0.650260746479034
tile_282100_1550100.las,13480,78400,0.1719,26824,4587,0.854,26824,127253,0.2108,2.4982,111091,127253,0.873,100.0,0.48972974807024,0.025130945647041,0.448036402463913,0.574967861175537
tile_282100_1550200.las,22798,78400,0.2908,61534,11410,0.8436,61534,165238,0.3724,1.9006,102022,165238,0.6174,100.0,0.443768614828587,0.051876091740626,0.315816909074783,0.559160053730011
tile_282100_1550300.las,23740,78400,0.3028,66632,12028,0.8471,66632,166747,0.3996,1.8007,94085,166747,0.5642,100.0,0.404092125892639,0.05184740739776,0.297552198171616,0.51628053188324
tile_282100_1550400.las,18937,78400,0.2415,38593,7625,0.835,38593,112288,0.3437,1.9134,79951,112288,0.712,100.0,0.423522884249687,0.040446449120352,0.282503366470337,0.507047653198242
tile_282100_1550500.las,21028,78400,0.2682,56295,13690,0.8044,56295,116333,0.4839,1.3618,31510,116333,0.2709,100.0,0.385650734007359,0.063157364266038,0.281726956367493,0.552623093128204
tile_282100_1550600.las,27977,78400,0.3568,89683,14989,0.8568,89683,170960,0.5246,1.2755,64682,170960,0.3783,100.0,0.430807376801968,0.067275087506709,0.294225603342056,0.556436657905579
tile_282100_1550700.las,27805,78400,0.3547,82558,10858,0.8838,82558,166220,0.4967,1.4255,85775,166220,0.516,100.0,0.5059896671772,0.058861907128359,0.311185091733932,0.58642041683197
tile_282100_1550800.las,25155,78400,0.3209,61071,13997,0.8135,61071,118118,0.517,1.1013,35573,118118,0.3012,100.0,0.44422904253006,0.06939630158597,0.333024561405182,0.585526764392853
tile_282100_1550900.las,23666,78400,0.3019,57475,8589,0.87,57475,133478,0.4306,1.7156,85425,133478,0.64,100.0,0.609075796604156,0.062268763041606,0.467361658811569,0.734388947486877
