tile,canopy_first_returns,total_first_returns,canopy_cover_ratio_dbh
tile_282000_1550000.las,66318,80835,0.8204
tile_282000_1550100.las,104650,119034,0.8792
tile_282000_1550200.las,94662,148538,0.6373
tile_282000_1550300.las,78458,126666,0.6194
tile_282000_1550400.las,34733,70793,0.4906
tile_282000_1550500.las,65076,112795,0.5769
tile_282000_1550600.las,95820,134702,0.7113
tile_282000_1550700.las,81702,125511,0.651
tile_282000_1550800.las,40818,91929,0.444
tile_282000_1550900.las,85326,126117,0.6766
tile_282000_1551000.las,116088,140395,0.8269
tile_282000_1551100.las,99023,117901,0.8399
tile_282000_1551200.las,65796,77367,0.8504
tile_282000_1551300.las,105406,136796,0.7705
tile_282000_1551400.las,112544,154784,0.7271
tile_282000_1551500.las,78713,119208,0.6603
tile_282000_1551600.las,36793,99707,0.369
tile_282000_1551700.las,76309,140346,0.5437
tile_282000_1551800.las,134342,146299,0.9183
tile_282000_1551900.las,78221,87113,0.8979
tile_282100_1550000.las,81418,111996,0.727
tile_282100_1550100.las,111091,127253,0.873
tile_282100_1550200.las,102022,165238,0.6174
tile_282100_1550300.las,94085,166747,0.5642
tile_282100_1550400.las,79951,112288,0.712
tile_282100_1550500.las,31510,116333,0.2709
tile_282100_1550600.las,64682,170960,0.3783
tile_282100_1550700.las,85775,166220,0.516
tile_282100_1550800.las,35573,118118,0.3012
tile_282100_1550900.las,85425,133478,0.64
tile_282100_1551000.las,140428,168073,0.8355
tile_282100_1551100.las,115094,158766,0.7249
tile_282100_1551200.las,84625,95693,0.8843
tile_282100_1551300.las,126596,136621,0.9266
tile_282100_1551400.las,167218,183605,0.9107
tile_282100_1551500.las,139168,151470,0.9188
tile_282100_1551600.las,72740,104793,0.6941
tile_282100_1551700.las,108299,152404,0.7106
tile_282100_1551800.las,172766,183903,0.9394
tile_282100_1551900.las,110942,120243,0.9226
tile_282200_1550000.las,66443,133833,0.4965
tile_282200_1550100.las,64460,109313,0.5897
tile_282200_1550200.las,84259,165137,0.5102
tile_282200_1550300.las,119355,180094,0.6627
tile_282200_1550400.las,98635,131536,0.7499
tile_282200_1550500.las,19392,93000,0.2085
tile_282200_1550600.las,66141,161683,0.4091
tile_282200_1550700.las,80202,177384,0.4521
tile_282200_1550800.las,88503,143690,0.6159
tile_282200_1550900.las,74081,107328,0.6902
tile_282200_1551000.las,127793,160645,0.7955
tile_282200_1551100.las,145369,178599,0.8139
tile_282200_1551200.las,106429,123119,0.8644
tile_282200_1551300.las,86495,108263,0.7989
tile_282200_1551400.las,160050,175930,0.9097
tile_282200_1551500.las,167563,176298,0.9505
tile_282200_1551600.las,109299,121165,0.9021
tile_282200_1551700.las,117326,128821,0.9108
tile_282200_1551800.las,170671,178448,0.9564
tile_282200_1551900.las,139648,145877,0.9573
tile_282300_1550000.las,115238,144238,0.7989
tile_282300_1550100.las,65978,124101,0.5316
tile_282300_1550200.las,78604,139642,0.5629
tile_282300_1550300.las,140850,178312,0.7899
tile_282300_1550400.las,138101,165727,0.8333
tile_282300_1550500.las,59873,104590,0.5725
tile_282300_1550600.las,84916,141848,0.5986
tile_282300_1550700.las,93997,175249,0.5364
tile_282300_1550800.las,116048,160385,0.7236
tile_282300_1550900.las,79737,106246,0.7505
tile_282300_1551000.las,109946,143697,0.7651
tile_282300_1551100.las,146193,181032,0.8076
tile_282300_1551200.las,127550,153491,0.831
tile_282300_1551300.las,60574,92217,0.6569
tile_282300_1551400.las,132528,152784,0.8674
tile_282300_1551500.las,174070,178644,0.9744
tile_282300_1551600.las,136152,141655,0.9612
tile_282300_1551700.las,99085,107862,0.9186
tile_282300_1551800.las,144267,153266,0.9413
tile_282300_1551900.las,132569,139130,0.9528
tile_282400_1550000.las,96186,144454,0.6659
tile_282400_1550100.las,77044,136565,0.5642
tile_282400_1550200.las,58090,113617,0.5113
tile_282400_1550300.las,146596,175459,0.8355
tile_282400_1550400.las,152590,192321,0.7934
tile_282400_1550500.las,95224,136385,0.6982
tile_282400_1550600.las,79942,108769,0.735
tile_282400_1550700.las,134379,172435,0.7793
tile_282400_1550800.las,143529,173556,0.827
tile_282400_1550900.las,108553,130782,0.83
tile_282400_1551000.las,90533,121212,0.7469
tile_282400_1551100.las,139471,177307,0.7866
tile_282400_1551200.las,143190,175054,0.818
tile_282400_1551300.las,71932,109031,0.6597
