tile,understory_veg_returns,ground_returns,fractional_cover
tile_282000_1550000.las,19145,3360,0.8507
tile_282000_1550100.las,22886,3761,0.8589
tile_282000_1550200.las,50317,9066,0.8473
tile_282000_1550300.las,41276,8149,0.8351
tile_282000_1550400.las,29111,7236,0.8009
tile_282000_1550500.las,47366,8656,0.8455
tile_282000_1550600.las,47448,7071,0.8703
tile_282000_1550700.las,57061,8503,0.8703
tile_282000_1550800.las,46609,9380,0.8325
tile_282000_1550900.las,47646,6716,0.8765
tile_282000_1551000.las,41742,5196,0.8893
tile_282000_1551100.las,31067,4850,0.865
tile_282000_1551200.las,23299,3416,0.8721
tile_282000_1551300.las,46979,5635,0.8929
tile_282000_1551400.las,63621,6319,0.9097
tile_282000_1551500.las,47006,6670,0.8757
tile_282000_1551600.las,49347,9650,0.8364
tile_282000_1551700.las,56286,8168,0.8733
tile_282000_1551800.las,21561,3188,0.8712
tile_282000_1551900.las,20083,2479,0.8901
tile_282100_1550000.las,33467,7307,0.8208
tile_282100_1550100.las,26824,4587,0.854
tile_282100_1550200.las,61534,11410,0.8436
tile_282100_1550300.las,66632,12028,0.8471
tile_282100_1550400.las,38593,7625,0.835
tile_282100_1550500.las,56295,13690,0.8044
tile_282100_1550600.las,89683,14989,0.8568
tile_282100_1550700.las,82558,10858,0.8838
tile_282100_1550800.las,61071,13997,0.8135
tile_282100_1550900.las,57475,8589,0.87
tile_282100_1551000.las,48824,6059,0.8896
tile_282100_1551100.las,58196,7428,0.8868
tile_282100_1551200.las,23216,3803,0.8592
tile_282100_1551300.las,29687,3347,0.8987
tile_282100_1551400.las,44512,4187,0.914
tile_282100_1551500.las,26995,3459,0.8864
tile_282100_1551600.las,32070,6493,0.8316
tile_282100_1551700.las,49356,7195,0.8728
tile_282100_1551800.las,30904,3164,0.9071
tile_282100_1551900.las,24995,3068,0.8907
tile_282200_1550000.las,55862,12707,0.8147
tile_282200_1550100.las,37253,10442,0.7811
tile_282200_1550200.las,70707,13341,0.8413
tile_282200_1550300.las,64523,10603,0.8589
tile_282200_1550400.las,34291,7068,0.8291
tile_282200_1550500.las,46692,12557,0.7881
tile_282200_1550600.las,98073,11911,0.8917
tile_282200_1550700.las,98292,12114,0.8903
tile_282200_1550800.las,60209,9112,0.8686
tile_282200_1550900.las,44255,7066,0.8623
tile_282200_1551000.las,63440,6512,0.9069
tile_282200_1551100.las,68876,5703,0.9235
tile_282200_1551200.las,41000,4352,0.904
tile_282200_1551300.las,33615,5748,0.854
tile_282200_1551400.las,32563,4675,0.8745
tile_282200_1551500.las,21112,3313,0.8644
tile_282200_1551600.las,23572,3579,0.8682
tile_282200_1551700.las,26611,3665,0.8789
tile_282200_1551800.las,24174,3264,0.881
tile_282200_1551900.las,16947,2422,0.875
tile_282300_1550000.las,32864,5736,0.8514
tile_282300_1550100.las,43491,12385,0.7783
tile_282300_1550200.las,53318,11726,0.8197
tile_282300_1550300.las,52027,7020,0.8811
tile_282300_1550400.las,47284,5227,0.9005
tile_282300_1550500.las,41899,8271,0.8351
tile_282300_1550600.las,72049,8480,0.8947
tile_282300_1550700.las,89865,11417,0.8873
tile_282300_1550800.las,56779,7420,0.8844
tile_282300_1550900.las,32778,5934,0.8467
tile_282300_1551000.las,59554,5667,0.9131
tile_282300_1551100.las,68064,5685,0.9229
tile_282300_1551200.las,57250,4847,0.9219
tile_282300_1551300.las,36794,6855,0.843
tile_282300_1551400.las,23706,5081,0.8235
tile_282300_1551500.las,12148,2278,0.8421
tile_282300_1551600.las,14464,2395,0.8579
tile_282300_1551700.las,21453,3019,0.8766
tile_282300_1551800.las,27778,3093,0.8998
tile_282300_1551900.las,19545,2022,0.9062
tile_282400_1550000.las,46292,8006,0.8526
tile_282400_1550100.las,47796,10785,0.8159
tile_282400_1550200.las,42856,11478,0.7888
tile_282400_1550300.las,43928,6216,0.876
tile_282400_1550400.las,62837,6661,0.9042
tile_282400_1550500.las,55340,7083,0.8865
tile_282400_1550600.las,41627,6637,0.8625
tile_282400_1550700.las,53142,7880,0.8709
tile_282400_1550800.las,42248,5709,0.881
tile_282400_1550900.las,34979,5026,0.8744
tile_282400_1551000.las,49154,5733,0.8955
tile_282400_1551100.las,67549,6190,0.9161
tile_282400_1551200.las,56735,4869,0.921
tile_282400_1551300.las,41648,6748,0.8606
tile_282400_1551400.las,25262,5875,0.8113
tile_282400_1551500.las,25765,4315,0.8565
tile_282400_1551600.las,26917,2591,0.9122
tile_282400_1551700.las,22997,2599,0.8985
tile_282400_1551800.las,40802,4570,0.8993
tile_282400_1551900.las,39945,5147,0.8859
tile_282500_1550000.las,35266,5803,0.8587
tile_282500_1550100.las,26442,5099,0.8383
tile_282500_1550200.las,34030,8190,0.806
tile_282500_1550300.las,50216,7376,0.8719
tile_282500_1550400.las,87209,9175,0.9048
tile_282500_1550500.las,77920,9515,0.8912
tile_282500_1550600.las,36466,6530,0.8481
tile_282500_1550700.las,54252,6553,0.8922
tile_282500_1550800.las,28127,3330,0.8941
tile_282500_1550900.las,49360,6675,0.8809
tile_282500_1551000.las,41772,7276,0.8517
tile_282500_1551100.las,88848,9496,0.9034
tile_282500_1551200.las,84735,7981,0.9139
tile_282500_1551300.las,55662,6245,0.8991
tile_282500_1551400.las,29453,5908,0.8329
tile_282500_1551500.las,40471,6853,0.8552
tile_282500_1551600.las,27326,3058,0.8994
tile_282500_1551700.las,24040,2890,0.8927
tile_282500_1551800.las,37751,3751,0.9096
tile_282500_1551900.las,54430,5909,0.9021
tile_282600_1550000.las,25746,5273,0.83
tile_282600_1550100.las,21032,2915,0.8783
tile_282600_1550200.las,33291,8067,0.8049
tile_282600_1550300.las,58103,12229,0.8261
tile_282600_1550400.las,80806,9078,0.899
tile_282600_1550500.las,64828,7428,0.8972
tile_282600_1550600.las,25095,4113,0.8592
tile_282600_1550700.las,22008,2766,0.8884
tile_282600_1550800.las,25349,2870,0.8983
tile_282600_1550900.las,41527,5841,0.8767
tile_282600_1551000.las,60888,9944,0.8596
tile_282600_1551100.las,85598,11067,0.8855
tile_282600_1551200.las,105505,13888,0.8837
tile_282600_1551300.las,69775,10350,0.8708
tile_282600_1551400.las,25508,4801,0.8416
tile_282600_1551500.las,28557,3295,0.8966
tile_282600_1551600.las,32386,3939,0.8916
tile_282600_1551700.las,29373,3959,0.8812
tile_282600_1551800.las,29637,3948,0.8824
tile_282600_1551900.las,34277,3136,0.9162
tile_282700_1550000.las,18951,3514,0.8436
tile_282700_1550100.las,33636,3492,0.9059
tile_282700_1550200.las,37299,8441,0.8155
tile_282700_1550300.las,50152,11718,0.8106
tile_282700_1550400.las,58013,7515,0.8853
tile_282700_1550500.las,39524,5029,0.8871
tile_282700_1550600.las,15228,2612,0.8536
tile_282700_1550700.las,14708,2590,0.8503
tile_282700_1550800.las,24190,2965,0.8908
tile_282700_1550900.las,43838,5668,0.8855
tile_282700_1551000.las,75119,10735,0.875
tile_282700_1551100.las,58840,11425,0.8374
tile_282700_1551200.las,82304,14604,0.8493
tile_282700_1551300.las,88057,12269,0.8777
tile_282700_1551400.las,36432,5962,0.8594
tile_282700_1551500.las,39152,3480,0.9184
tile_282700_1551600.las,61343,7003,0.8975
tile_282700_1551700.las,60926,9420,0.8661
tile_282700_1551800.las,41155,9066,0.8195
tile_282700_1551900.las,28906,4884,0.8555
tile_282800_1550000.las,16173,2803,0.8523
tile_282800_1550100.las,41599,5568,0.882
tile_282800_1550200.las,53429,8143,0.8677
tile_282800_1550300.las,52858,9417,0.8488
tile_282800_1550400.las,47133,6321,0.8817
tile_282800_1550500.las,36517,4755,0.8848
tile_282800_1550600.las,23561,3228,0.8795
tile_282800_1550700.las,16861,2618,0.8656
tile_282800_1550800.las,24764,4351,0.8506
tile_282800_1550900.las,45635,7488,0.859
tile_282800_1551000.las,39176,6021,0.8668
tile_282800_1551100.las,37787,8436,0.8175
tile_282800_1551200.las,70125,12666,0.847
tile_282800_1551300.las,70412,11459,0.86
tile_282800_1551400.las,38049,6540,0.8533
tile_282800_1551500.las,31381,5074,0.8608
tile_282800_1551600.las,44490,4730,0.9039
tile_282800_1551700.las,57074,5322,0.9147
tile_282800_1551800.las,45681,6870,0.8693
tile_282800_1551900.las,29630,4601,0.8656
tile_282900_1550000.las,15472,2443,0.8636
tile_282900_1550100.las,25014,3452,0.8787
tile_282900_1550200.las,33530,4570,0.8801
tile_282900_1550300.las,39830,6016,0.8688
tile_282900_1550400.las,36758,5681,0.8661
tile_282900_1550500.las,50426,4909,0.9113
tile_282900_1550600.las,55910,4845,0.9203
tile_282900_1550700.las,20771,2838,0.8798
tile_282900_1550800.las,29885,5201,0.8518
tile_282900_1550900.las,36652,5448,0.8706
tile_282900_1551000.las,26957,5610,0.8277
tile_282900_1551100.las,34424,5998,0.8516
tile_282900_1551200.las,29919,6012,0.8327
tile_282900_1551300.las,38452,5313,0.8786
tile_282900_1551400.las,61607,8855,0.8743
tile_282900_1551500.las,51128,9080,0.8492
tile_282900_1551600.las,61197,7466,0.8913
tile_282900_1551700.las,66329,7127,0.903
tile_282900_1551800.las,51521,5092,0.9101
tile_282900_1551900.las,29376,5535,0.8415
tile_283000_1550000.las,30548,4599,0.8691
tile_283000_1550100.las,21273,2701,0.8873
tile_283000_1550200.las,25518,3654,0.8747
tile_283000_1550300.las,24166,3528,0.8726
tile_283000_1550400.las,33549,5025,0.8697
tile_283000_1550500.las,53392,4758,0.9182
tile_283000_1550600.las,54491,3931,0.9327
tile_283000_1550700.las,24943,2843,0.8977
tile_283000_1550800.las,18212,3604,0.8348
tile_283000_1550900.las,32910,6439,0.8364
tile_283000_1551000.las,55218,9896,0.848
tile_283000_1551100.las,56304,6813,0.8921
tile_283000_1551200.las,19961,3476,0.8517
tile_283000_1551300.las,35139,4095,0.8956
tile_283000_1551400.las,69627,9652,0.8783
