tile,lad_0.5_3.5m
tile_282000_1550000.las,2.4308
tile_282000_1550100.las,2.6236
tile_282000_1550200.las,2.0948
tile_282000_1550300.las,2.2248
tile_282000_1550400.las,1.7306
tile_282000_1550500.las,1.7672
tile_282000_1550600.las,2.0473
tile_282000_1550700.las,1.5232
tile_282000_1550800.las,1.2327
tile_282000_1550900.las,1.9491
tile_282000_1551000.las,2.1215
tile_282000_1551100.las,2.2384
tile_282000_1551200.las,2.0339
tile_282000_1551300.las,1.9334
tile_282000_1551400.las,1.738
tile_282000_1551500.las,1.8207
tile_282000_1551600.las,1.4974
tile_282000_1551700.las,2.1131
tile_282000_1551800.las,2.9399
tile_282000_1551900.las,2.3979
tile_282100_1550000.las,2.1221
tile_282100_1550100.las,2.4982
tile_282100_1550200.las,1.9006
tile_282100_1550300.las,1.8007
tile_282100_1550400.las,1.9134
tile_282100_1550500.las,1.3618
tile_282100_1550600.las,1.2755
tile_282100_1550700.las,1.4255
tile_282100_1550800.las,1.1013
tile_282100_1550900.las,1.7156
tile_282100_1551000.las,2.1251
tile_282100_1551100.las,1.8728
tile_282100_1551200.las,2.2975
tile_282100_1551300.las,2.4182
tile_282100_1551400.las,2.3269
tile_282100_1551500.las,2.7175
tile_282100_1551600.las,2.214
tile_282100_1551700.las,2.1123
tile_282100_1551800.las,2.7392
tile_282100_1551900.las,2.5063
tile_282200_1550000.las,1.7366
tile_282200_1550100.las,1.9214
tile_282200_1550200.las,1.6573
tile_282200_1550300.las,1.9425
tile_282200_1550400.las,2.3111
tile_282200_1550500.las,0.9999
tile_282200_1550600.las,0.9874
tile_282200_1550700.las,1.2439
tile_282200_1550800.las,1.707
tile_282200_1550900.las,1.6944
tile_282200_1551000.las,1.7318
tile_282200_1551100.las,1.7682
tile_282200_1551200.las,1.9198
tile_282200_1551300.las,2.0388
tile_282200_1551400.las,2.7146
tile_282200_1551500.las,3.1599
tile_282200_1551600.las,2.6395
tile_282200_1551700.las,2.5444
tile_282200_1551800.las,2.9799
tile_282200_1551900.las,3.1182
tile_282300_1550000.las,2.607
tile_282300_1550100.las,1.9758
tile_282300_1550200.las,1.8842
tile_282300_1550300.las,2.1822
tile_282300_1550400.las,2.1736
tile_282300_1550500.las,1.7747
tile_282300_1550600.las,1.3942
tile_282300_1550700.las,1.4165
tile_282300_1550800.las,2.0347
tile_282300_1550900.las,2.1637
tile_282300_1551000.las,1.6886
tile_282300_1551100.las,1.7778
tile_282300_1551200.las,1.7974
tile_282300_1551300.las,1.7862
tile_282300_1551400.las,3.1593
tile_282300_1551500.las,3.7342
tile_282300_1551600.las,3.2771
tile_282300_1551700.las,2.563
tile_282300_1551800.las,2.6265
tile_282300_1551900.las,2.9077
tile_282400_1550000.las,2.2788
tile_282400_1550100.las,2.1722
tile_282400_1550200.las,1.9369
tile_282400_1550300.las,2.3355
tile_282400_1550400.las,2.0156
tile_282400_1550500.las,1.7096
tile_282400_1550600.las,1.7452
tile_282400_1550700.las,2.1091
tile_282400_1550800.las,2.5268
tile_282400_1550900.las,2.323
tile_282400_1551000.las,1.7041
tile_282400_1551100.las,1.7766
tile_282400_1551200.las,2.0707
tile_282400_1551300.las,1.9989
tile_282400_1551400.las,2.9203
tile_282400_1551500.las,3.0162
tile_282400_1551600.las,2.7323
tile_282400_1551700.las,2.4359
tile_282400_1551800.las,2.1004
tile_282400_1551900.las,2.2036
tile_282500_1550000.las,2.5572
tile_282500_1550100.las,3.0074
tile_282500_1550200.las,2.2105
tile_282500_1550300.las,2.0518
tile_282500_1550400.las,1.6359
tile_282500_1550500.las,1.4366
tile_282500_1550600.las,1.7333
tile_282500_1550700.las,1.8375
tile_282500_1550800.las,2.7655
tile_282500_1550900.las,2.1181
tile_282500_1551000.las,1.8001
tile_282500_1551100.las,1.1993
tile_282500_1551200.las,1.5926
tile_282500_1551300.las,1.8229
tile_282500_1551400.las,2.4311
tile_282500_1551500.las,2.5632
tile_282500_1551600.las,2.7912
tile_282500_1551700.las,2.5647
tile_282500_1551800.las,1.9603
tile_282500_1551900.las,1.7107
tile_282600_1550000.las,2.7754
tile_282600_1550100.las,3.2322
tile_282600_1550200.las,2.4271
tile_282600_1550300.las,1.5435
tile_282600_1550400.las,1.6944
tile_282600_1550500.las,1.9046
tile_282600_1550600.las,2.2826
tile_282600_1550700.las,2.5907
tile_282600_1550800.las,2.834
tile_282600_1550900.las,2.4101
tile_282600_1551000.las,1.3003
tile_282600_1551100.las,0.8678
tile_282600_1551200.las,1.0095
tile_282600_1551300.las,1.849
tile_282600_1551400.las,2.4633
tile_282600_1551500.las,2.619
tile_282600_1551600.las,2.5645
tile_282600_1551700.las,2.524
tile_282600_1551800.las,2.0068
tile_282600_1551900.las,2.1033
tile_282700_1550000.las,2.8118
tile_282700_1550100.las,2.7538
tile_282700_1550200.las,2.3651
