tile,understory_returns,first_returns,normalized_cover
tile_282000_1550000.las,19145,80835,0.2368
tile_282000_1550100.las,22886,119034,0.1923
tile_282000_1550200.las,50317,148538,0.3387
tile_282000_1550300.las,41276,126666,0.3259
tile_282000_1550400.las,29111,70793,0.4112
tile_282000_1550500.las,47366,112795,0.4199
tile_282000_1550600.las,47448,134702,0.3522
tile_282000_1550700.las,57061,125511,0.4546
tile_282000_1550800.las,46609,91929,0.507
tile_282000_1550900.las,47646,126117,0.3778
tile_282000_1551000.las,41742,140395,0.2973
tile_282000_1551100.las,31067,117901,0.2635
tile_282000_1551200.las,23299,77367,0.3011
tile_282000_1551300.las,46979,136796,0.3434
tile_282000_1551400.las,63621,154784,0.411
tile_282000_1551500.las,47006,119208,0.3943
tile_282000_1551600.las,49347,99707,0.4949
tile_282000_1551700.las,56286,140346,0.4011
tile_282000_1551800.las,21561,146299,0.1474
tile_282000_1551900.las,20083,87113,0.2305
tile_282100_1550000.las,33467,111996,0.2988
tile_282100_1550100.las,26824,127253,0.2108
tile_282100_1550200.las,61534,165238,0.3724
tile_282100_1550300.las,66632,166747,0.3996
tile_282100_1550400.las,38593,112288,0.3437
tile_282100_1550500.las,56295,116333,0.4839
tile_282100_1550600.las,89683,170960,0.5246
tile_282100_1550700.las,82558,166220,0.4967
tile_282100_1550800.las,61071,118118,0.517
tile_282100_1550900.las,57475,133478,0.4306
tile_282100_1551000.las,48824,168073,0.2905
tile_282100_1551100.las,58196,158766,0.3666
tile_282100_1551200.las,23216,95693,0.2426
tile_282100_1551300.las,29687,136621,0.2173
tile_282100_1551400.las,44512,183605,0.2424
tile_282100_1551500.las,26995,151470,0.1782
tile_282100_1551600.las,32070,104793,0.306
tile_282100_1551700.las,49356,152404,0.3238
tile_282100_1551800.las,30904,183903,0.168
tile_282100_1551900.las,24995,120243,0.2079
tile_282200_1550000.las,55862,133833,0.4174
tile_282200_1550100.las,37253,109313,0.3408
tile_282200_1550200.las,70707,165137,0.4282
tile_282200_1550300.las,64523,180094,0.3583
tile_282200_1550400.las,34291,131536,0.2607
tile_282200_1550500.las,46692,93000,0.5021
tile_282200_1550600.las,98073,161683,0.6066
tile_282200_1550700.las,98292,177384,0.5541
tile_282200_1550800.las,60209,143690,0.419
tile_282200_1550900.las,44255,107328,0.4123
tile_282200_1551000.las,63440,160645,0.3949
tile_282200_1551100.las,68876,178599,0.3856
tile_282200_1551200.las,41000,123119,0.333
tile_282200_1551300.las,33615,108263,0.3105
tile_282200_1551400.las,32563,175930,0.1851
tile_282200_1551500.las,21112,176298,0.1198
tile_282200_1551600.las,23572,121165,0.1945
tile_282200_1551700.las,26611,128821,0.2066
tile_282200_1551800.las,24174,178448,0.1355
tile_282200_1551900.las,16947,145877,0.1162
tile_282300_1550000.las,32864,144238,0.2278
tile_282300_1550100.las,43491,124101,0.3504
tile_282300_1550200.las,53318,139642,0.3818
tile_282300_1550300.las,52027,178312,0.2918
tile_282300_1550400.las,47284,165727,0.2853
tile_282300_1550500.las,41899,104590,0.4006
tile_282300_1550600.las,72049,141848,0.5079
tile_282300_1550700.las,89865,175249,0.5128
tile_282300_1550800.las,56779,160385,0.354
tile_282300_1550900.las,32778,106246,0.3085
tile_282300_1551000.las,59554,143697,0.4144
tile_282300_1551100.las,68064,181032,0.376
