tile,occupied_voxels,total_voxels,voxel_occupancy_ratio
tile_282000_1550000.las,9603,57600,0.1667
tile_282000_1550100.las,10975,67200,0.1633
tile_282000_1550200.las,17456,67200,0.2598
tile_282000_1550300.las,15716,67200,0.2339
tile_282000_1550400.las,16158,67200,0.2404
tile_282000_1550500.las,18463,67200,0.2747
tile_282000_1550600.las,19316,67200,0.2874
tile_282000_1550700.las,22816,67200,0.3395
tile_282000_1550800.las,21415,67200,0.3187
tile_282000_1550900.las,18923,67200,0.2816
tile_282000_1551000.las,17864,67200,0.2658
tile_282000_1551100.las,14775,67200,0.2199
tile_282000_1551200.las,13016,67200,0.1937
tile_282000_1551300.las,16479,67200,0.2452
tile_282000_1551400.las,22012,67200,0.3276
tile_282000_1551500.las,18032,67200,0.2683
tile_282000_1551600.las,19694,67200,0.2931
tile_282000_1551700.las,18498,67200,0.2753
tile_282000_1551800.las,9149,67200,0.1361
tile_282000_1551900.las,10305,57600,0.1789
tile_282100_1550000.las,14180,67200,0.211
tile_282100_1550100.las,13480,78400,0.1719
tile_282100_1550200.las,22798,78400,0.2908
tile_282100_1550300.las,23740,78400,0.3028
tile_282100_1550400.las,18937,78400,0.2415
tile_282100_1550500.las,21028,78400,0.2682
tile_282100_1550600.las,27977,78400,0.3568
tile_282100_1550700.las,27805,78400,0.3547
tile_282100_1550800.las,25155,78400,0.3209
tile_282100_1550900.las,23666,78400,0.3019
tile_282100_1551000.las,20563,78400,0.2623
tile_282100_1551100.las,21287,78400,0.2715
tile_282100_1551200.las,13535,78400,0.1726
tile_282100_1551300.las,14721,78400,0.1878
tile_282100_1551400.las,18240,78400,0.2327
tile_282100_1551500.las,11808,78400,0.1506
tile_282100_1551600.las,15604,78400,0.199
tile_282100_1551700.las,18293,78400,0.2333
tile_282100_1551800.las,12965,78400,0.1654
tile_282100_1551900.las,12448,67200,0.1852
tile_282200_1550000.las,18408,67200,0.2739
tile_282200_1550100.las,17990,78400,0.2295
tile_282200_1550200.las,24359,78400,0.3107
tile_282200_1550300.las,22711,78400,0.2897
tile_282200_1550400.las,16448,78400,0.2098
tile_282200_1550500.las,21290,78400,0.2716
tile_282200_1550600.las,30618,78400,0.3905
tile_282200_1550700.las,31226,78400,0.3983
tile_282200_1550800.las,24212,78400,0.3088
tile_282200_1550900.las,21618,78400,0.2757
tile_282200_1551000.las,24538,78400,0.313
tile_282200_1551100.las,24216,78400,0.3089
tile_282200_1551200.las,18189,78400,0.232
tile_282200_1551300.las,17268,78400,0.2203
tile_282200_1551400.las,14691,78400,0.1874
tile_282200_1551500.las,10155,78400,0.1295
tile_282200_1551600.las,11839,78400,0.151
tile_282200_1551700.las,13342,78400,0.1702
tile_282200_1551800.las,12035,78400,0.1535
tile_282200_1551900.las,8718,67200,0.1297
tile_282300_1550000.las,13549,67200,0.2016
tile_282300_1550100.las,19164,78400,0.2444
tile_282300_1550200.las,21131,78400,0.2695
tile_282300_1550300.las,19477,78400,0.2484
tile_282300_1550400.las,18675,78400,0.2382
tile_282300_1550500.las,20625,78400,0.2631
tile_282300_1550600.las,26796,78400,0.3418
tile_282300_1550700.las,30274,78400,0.3861
tile_282300_1550800.las,22459,78400,0.2865
tile_282300_1550900.las,17051,78400,0.2175
tile_282300_1551000.las,22807,78400,0.2909
tile_282300_1551100.las,24577,78400,0.3135
tile_282300_1551200.las,21623,78400,0.2758
tile_282300_1551300.las,19622,78400,0.2503
tile_282300_1551400.las,11362,78400,0.1449
tile_282300_1551500.las,6462,78400,0.0824
tile_282300_1551600.las,7468,78400,0.0953
tile_282300_1551700.las,11620,78400,0.1482
tile_282300_1551800.las,13053,78400,0.1665
tile_282300_1551900.las,8954,67200,0.1332
tile_282400_1550000.las,16987,67200,0.2528
tile_282400_1550100.las,19296,78400,0.2461
tile_282400_1550200.las,19771,78400,0.2522
tile_282400_1550300.las,17136,78400,0.2186
tile_282400_1550400.las,21381,78400,0.2727
tile_282400_1550500.las,21531,78400,0.2746
tile_282400_1550600.las,20185,78400,0.2575
tile_282400_1550700.las,20737,78400,0.2645
tile_282400_1550800.las,17170,78400,0.219
tile_282400_1550900.las,16933,78400,0.216
tile_282400_1551000.las,21421,78400,0.2732
tile_282400_1551100.las,24410,78400,0.3114
tile_282400_1551200.las,19617,78400,0.2502
tile_282400_1551300.las,18641,78400,0.2378
tile_282400_1551400.las,12865,78400,0.1641
tile_282400_1551500.las,11879,78400,0.1515
tile_282400_1551600.las,11625,78400,0.1483
tile_282400_1551700.las,12153,78400,0.155
tile_282400_1551800.las,16782,78400,0.2141
tile_282400_1551900.las,15454,67200,0.23
tile_282500_1550000.las,14944,67200,0.2224
tile_282500_1550100.las,13392,78400,0.1708
tile_282500_1550200.las,16962,78400,0.2164
tile_282500_1550300.las,19163,78400,0.2444
tile_282500_1550400.las,27131,78400,0.3461
tile_282500_1550500.las,25304,78400,0.3228
tile_282500_1550600.las,18997,78400,0.2423
tile_282500_1550700.las,20863,78400,0.2661
tile_282500_1550800.las,12766,78400,0.1628
tile_282500_1550900.las,20260,78400,0.2584
tile_282500_1551000.las,20355,78400,0.2596
tile_282500_1551100.las,29438,78400,0.3755
tile_282500_1551200.las,27634,78400,0.3525
tile_282500_1551300.las,21787,78400,0.2779
tile_282500_1551400.las,13644,78400,0.174
tile_282500_1551500.las,16068,78400,0.2049
tile_282500_1551600.las,11845,78400,0.1511
